request_id,status,latency_ms,tokens,response_size,success,error
0,200,29018.93,50,543,True,
1,200,11464.05,50,506,True,
2,200,5943.47,50,521,True,
3,200,15501.57,50,542,True,
4,200,24016.8,50,531,True,
5,200,5944.8,50,545,True,
6,200,13925.81,50,548,True,
7,200,12876.48,50,539,True,
8,200,17993.45,50,518,True,
9,200,13429.07,50,572,True,
10,200,18554.75,50,535,True,
11,200,27939.54,50,565,True,
12,200,21033.2,50,532,True,
13,200,27940.32,50,524,True,
14,200,27940.94,50,535,True,
15,200,7950.5,50,553,True,
16,200,5943.72,50,530,True,
17,200,10413.6,50,534,True,
18,200,16049.65,50,537,True,
19,200,22952.48,50,538,True,
20,200,22951.5,50,549,True,
21,200,7951.01,50,550,True,
22,200,10412.69,50,529,True,
23,200,16554.21,50,541,True,
24,200,21535.14,50,551,True,
25,200,17994.39,50,530,True,
26,200,22952.77,50,552,True,
27,200,28497.0,50,552,True,
28,200,10411.94,50,550,True,
29,200,17993.41,50,527,True,
30,200,25441.17,50,524,True,
31,200,7948.85,50,529,True,
32,200,10963.97,50,529,True,
33,200,19219.22,50,520,True,
34,200,25439.39,50,574,True,
35,200,4534.35,50,564,True,
36,200,12874.53,50,560,True,
37,200,20479.49,50,529,True,
38,200,25440.17,50,510,True,
39,200,6536.12,50,535,True,
40,200,12873.53,50,534,True,
41,200,20479.89,50,548,True,
42,200,26007.06,50,486,True,
43,200,8502.64,50,545,True,
44,200,15499.28,50,573,True,
45,200,20478.54,50,532,True,
46,200,26517.46,50,556,True,
47,200,9000.23,50,541,True,
48,200,15497.96,50,526,True,
49,200,23512.62,50,536,True,
50,200,25945.02,50,544,True,
51,200,24536.83,50,552,True,
52,200,24537.28,50,552,True,
53,200,26600.98,50,543,True,
54,200,26006.27,50,519,True,
55,200,24594.85,50,564,True,
56,200,23135.53,50,521,True,
57,200,25172.53,50,552,True,
58,200,25149.46,50,548,True,
59,200,26106.41,50,538,True,
60,200,24694.48,50,554,True,
61,200,24692.9,50,541,True,
62,200,25277.36,50,557,True,
63,200,25243.2,50,542,True,
64,200,26205.59,50,509,True,
65,200,24796.1,50,511,True,
66,200,24794.05,50,574,True,
67,200,25390.44,50,537,True,
68,200,25345.95,50,516,True,
69,200,26292.42,50,544,True,
70,200,24717.83,50,565,True,
71,200,24716.06,50,533,True,
72,200,25281.92,50,560,True,
73,200,25241.98,50,527,True,
74,200,26187.63,50,523,True,
75,200,24748.51,50,549,True,
76,200,24747.22,50,556,True,
77,200,25317.93,50,539,True,
78,200,25270.85,50,537,True,
79,200,26036.82,50,523,True,
80,200,24777.71,50,524,True,
81,200,24777.72,50,569,True,
82,200,25342.37,50,562,True,
83,200,25294.73,50,506,True,
84,200,26224.56,50,523,True,
85,200,24808.21,50,541,True,
86,200,24808.16,50,537,True,
87,200,25369.05,50,536,True,
88,200,25313.17,50,552,True,
89,200,26238.46,50,534,True,
90,200,24815.48,50,561,True,
91,200,24814.08,50,529,True,
92,200,25375.04,50,531,True,
93,200,25314.13,50,541,True,
94,200,26229.15,50,523,True,
95,200,24809.02,50,552,True,
96,200,24808.94,50,548,True,
97,200,25914.88,50,543,True,
98,200,24927.11,50,532,True,
99,200,25243.42,50,517,True,
