request_id,status,latency_ms,tokens,response_size,success,error
0,200,286546.42,50,445,True,
1,200,209520.42,50,418,True,
2,200,80373.07,50,442,True,
3,200,106114.18,50,428,True,
4,200,198143.06,50,427,True,
5,200,31579.51,50,428,True,
6,200,57410.13,50,428,True,
7,200,240831.71,50,423,True,
8,200,252197.04,50,428,True,
9,200,20211.87,50,447,True,
10,200,37271.32,50,428,True,
11,200,218008.37,50,445,True,
12,200,51519.19,50,449,True,
13,200,74610.28,50,430,True,
14,200,149389.67,50,465,True,
15,200,155096.49,50,428,True,
16,200,54408.19,50,426,True,
17,200,68881.5,50,432,True,
18,200,108964.23,50,398,True,
19,200,129396.26,50,433,True,
20,200,266692.43,50,445,True,
21,200,8637.51,50,443,True,
22,200,5766.08,50,452,True,
23,200,28709.22,50,453,True,
24,200,42966.5,50,454,True,
25,200,183799.67,50,439,True,
26,200,195311.9,50,433,True,
27,200,91805.76,50,419,True,
28,200,111791.49,50,429,True,
29,200,126563.25,50,423,True,
30,200,143715.17,50,451,True,
31,200,163625.72,50,458,True,
32,200,177989.77,50,425,True,
33,200,200963.74,50,417,True,
34,200,220839.28,50,430,True,
35,200,235129.56,50,428,True,
36,200,255057.89,50,431,True,
37,200,272343.88,50,420,True,
38,200,283733.76,50,430,True,
39,200,17355.2,50,430,True,
40,200,40090.04,50,441,True,
41,200,63220.96,50,427,True,
42,200,83212.72,50,451,True,
43,200,97550.67,50,431,True,
44,200,117555.59,50,457,True,
45,200,135106.87,50,411,True,
46,200,152231.68,50,399,True,
47,200,166495.08,50,414,True,
48,200,186657.24,50,414,True,
49,200,206637.93,50,452,True,
50,200,226541.06,50,450,True,
51,200,243699.43,50,425,True,
52,200,260937.03,50,451,True,
53,200,280900.97,50,430,True,
54,200,14492.74,50,444,True,
55,200,34423.59,50,409,True,
56,200,60383.28,50,446,True,
57,200,77497.62,50,451,True,
58,200,94670.17,50,431,True,
59,200,114692.04,50,446,True,
60,200,132245.28,50,381,True,
61,200,146574.0,50,419,True,
62,200,169351.48,50,405,True,
63,200,180948.69,50,447,True,
64,200,203807.92,50,468,True,
65,200,223707.69,50,455,True,
66,200,237951.39,50,399,True,
67,200,257902.49,50,405,True,
68,200,275181.44,50,407,True,
69,200,11676.88,50,437,True,
70,200,25868.02,50,402,True,
71,200,48662.8,50,416,True,
72,200,71731.52,50,400,True,
73,200,88995.66,50,427,True,
74,200,103250.77,50,422,True,
75,200,123381.88,50,442,True,
76,200,137952.98,50,434,True,
77,200,160785.53,50,452,True,
78,200,175169.06,50,433,True,
79,200,192390.82,50,472,True,
80,200,215165.67,50,420,True,
81,200,232161.78,50,419,True,
82,200,249347.54,50,439,True,
83,200,269536.83,50,442,True,
84,200,2916.41,50,432,True,
85,200,23031.6,50,455,True,
86,200,45808.6,50,440,True,
87,200,66057.43,50,410,True,
88,200,86156.75,50,443,True,
89,200,100388.12,50,421,True,
90,200,120391.36,50,429,True,
91,200,140800.16,50,439,True,
92,200,157949.49,50,430,True,
93,200,172238.2,50,456,True,
94,200,189549.51,50,460,True,
95,200,212361.12,50,441,True,
96,200,229355.74,50,420,True,
97,200,246528.36,50,439,True,
98,200,263800.06,50,428,True,
99,200,278048.56,50,435,True,
