request_id,status,latency_ms,tokens,response_size,success,error
0,200,36870.78,50,442,True,
1,200,28012.41,50,435,True,
2,200,19758.11,50,467,True,
3,200,30106.64,50,437,True,
4,200,44186.95,50,445,True,
5,200,39115.42,50,449,True,
6,200,4962.93,50,439,True,
7,200,15693.33,50,434,True,
8,200,14684.1,50,471,True,
9,200,41925.71,50,445,True,
10,200,12643.46,50,443,True,
11,200,21299.85,50,452,True,
12,200,16712.42,50,441,True,
13,200,16209.84,50,443,True,
14,200,43055.92,50,436,True,
15,200,50964.97,50,442,True,
16,200,33482.39,50,429,True,
17,200,52106.15,50,426,True,
18,200,53807.91,50,435,True,
19,200,47012.67,50,452,True,
20,200,40798.59,50,457,True,
21,200,20269.42,50,452,True,
22,200,26469.1,50,457,True,
23,200,18735.73,50,433,True,
24,200,5993.75,50,419,True,
25,200,11092.56,50,460,True,
26,200,11608.04,50,443,True,
27,200,23887.15,50,399,True,
28,200,36309.69,50,424,True,
29,200,35192.57,50,467,True,
30,200,12137.82,50,426,True,
31,200,44745.28,50,430,True,
32,200,18230.55,50,439,True,
33,200,54381.1,50,423,True,
34,200,48695.58,50,429,True,
35,200,28526.8,50,445,True,
36,200,55519.15,50,437,True,
37,200,29567.43,50,446,True,
38,200,40238.18,50,439,True,
39,200,5487.73,50,476,True,
40,200,37990.07,50,440,True,
41,200,27494.76,50,446,True,
42,200,29041.11,50,453,True,
43,200,30671.34,50,449,True,
44,200,17215.87,50,431,True,
45,200,34079.15,50,467,True,
46,200,46442.29,50,452,True,
47,200,39671.85,50,401,True,
48,200,7004.84,50,450,True,
49,200,23368.65,50,430,True,
50,200,45314.08,50,425,True,
51,200,38548.96,50,447,True,
52,200,50405.14,50,451,True,
53,200,37425.95,50,408,True,
54,200,8540.59,50,457,True,
55,200,10575.19,50,459,True,
56,200,8014.53,50,441,True,
57,200,20782.9,50,441,True,
58,200,32353.71,50,443,True,
59,200,42488.64,50,446,True,
60,200,43614.11,50,421,True,
61,200,22847.23,50,409,True,
62,200,25953.74,50,449,True,
63,200,49825.66,50,421,True,
64,200,9050.25,50,415,True,
65,200,21818.28,50,410,True,
66,200,31799.78,50,442,True,
67,200,56653.3,50,456,True,
68,200,56080.5,50,437,True,
69,200,3916.24,50,460,True,
70,200,6499.72,50,447,True,
71,200,10063.43,50,438,True,
72,200,15188.58,50,426,True,
73,200,32930.08,50,444,True,
74,200,14176.79,50,428,True,
75,200,13664.36,50,398,True,
76,200,53241.72,50,406,True,
77,200,41362.04,50,440,True,
78,200,57219.15,50,435,True,
79,200,34625.41,50,407,True,
80,200,26977.77,50,455,True,
81,200,49259.43,50,439,True,
82,200,35741.16,50,433,True,
83,200,54941.1,50,440,True,
84,200,4443.14,50,441,True,
85,200,24411.17,50,427,True,
86,200,24923.93,50,435,True,
87,200,25438.85,50,411,True,
88,200,52672.98,50,440,True,
89,200,7506.41,50,441,True,
90,200,17722.54,50,438,True,
91,200,9554.02,50,430,True,
92,200,47563.32,50,422,True,
93,200,51537.74,50,427,True,
94,200,48131.11,50,459,True,
95,200,22325.8,50,421,True,
96,200,45874.43,50,414,True,
97,200,13153.5,50,426,True,
98,200,31223.87,50,444,True,
99,200,19246.5,50,440,True,
100,200,57789.43,50,473,True,
101,200,58358.61,50,452,True,
102,200,58924.09,50,409,True,
103,200,59495.25,50,438,True,
104,200,60061.06,50,439,True,
105,200,60634.71,50,427,True,
106,200,61202.21,50,427,True,
107,200,61775.13,50,431,True,
108,200,62346.16,50,430,True,
109,200,62915.86,50,427,True,
110,200,63489.14,50,432,True,
111,200,64053.16,50,450,True,
112,200,64629.3,50,422,True,
113,200,65193.39,50,415,True,
114,200,65769.15,50,434,True,
115,200,66339.41,50,415,True,
116,200,66911.7,50,417,True,
117,200,67486.56,50,431,True,
118,200,68060.69,50,429,True,
119,200,68633.6,50,428,True,
120,200,69205.74,50,451,True,
121,200,69781.05,50,409,True,
122,200,70354.75,50,427,True,
123,200,70928.12,50,436,True,
124,200,71498.73,50,449,True,
125,200,72075.56,50,449,True,
126,200,72648.03,50,446,True,
127,200,73227.5,50,446,True,
128,200,73797.56,50,442,True,
129,200,74380.63,50,433,True,
130,200,74947.46,50,433,True,
131,200,75543.62,50,443,True,
132,200,76110.02,50,407,True,
133,200,76708.96,50,439,True,
134,200,77271.54,50,435,True,
135,200,77867.96,50,444,True,
136,200,78439.97,50,439,True,
137,200,79036.54,50,425,True,
138,200,79602.9,50,422,True,
139,200,80195.52,50,386,True,
140,200,80771.69,50,452,True,
141,200,81362.58,50,436,True,
142,200,81929.19,50,434,True,
143,200,82504.92,50,428,True,
144,200,83087.35,50,445,True,
145,200,83660.4,50,434,True,
146,200,84243.32,50,453,True,
147,200,84817.51,50,432,True,
