request_id,status,latency_ms,tokens,response_size,success,error
0,200,45344.65,50,445,True,
1,200,43055.21,50,458,True,
2,200,23928.79,50,441,True,
3,200,30488.68,50,444,True,
4,200,23414.44,50,445,True,
5,200,7611.48,50,437,True,
6,200,2028.31,50,434,True,
7,200,39055.27,50,422,True,
8,200,25470.68,50,425,True,
9,200,8113.77,50,430,True,
10,200,10636.77,50,431,True,
11,200,33937.33,50,439,True,
12,200,37916.4,50,434,True,
13,200,51709.08,50,442,True,
14,200,31651.83,50,394,True,
15,200,8621.94,50,432,True,
16,200,26532.01,50,412,True,
17,200,16731.46,50,436,True,
18,200,13673.65,50,403,True,
19,200,52868.57,50,434,True,
20,200,24954.11,50,438,True,
21,200,49988.09,50,420,True,
22,200,11644.6,50,422,True,
23,200,2537.72,50,415,True,
24,200,10131.3,50,436,True,
25,200,3040.53,50,443,True,
26,200,40194.41,50,426,True,
27,200,7106.54,50,430,True,
28,200,45912.86,50,431,True,
29,200,18785.85,50,431,True,
30,200,48222.54,50,411,True,
31,200,54026.13,50,466,True,
32,200,15194.95,50,429,True,
33,200,50548.83,50,422,True,
34,200,43622.58,50,423,True,
35,200,42479.84,50,445,True,
36,200,13166.29,50,431,True,
37,200,17242.29,50,446,True,
38,200,47658.86,50,438,True,
39,200,1531.01,50,431,True,
40,200,15709.93,50,451,True,
41,200,28787.13,50,446,True,
42,200,22383.44,50,439,True,
43,200,19814.08,50,441,True,
44,200,32234.59,50,438,True,
45,200,21871.01,50,432,True,
46,200,33364.7,50,454,True,
47,200,5064.11,50,436,True,
48,200,36778.66,50,422,True,
49,200,41911.21,50,422,True,
50,200,29934.9,50,416,True,
51,200,28183.27,50,413,True,
52,200,32793.05,50,451,True,
53,200,51144.22,50,423,True,
54,200,20325.51,50,417,True,
55,200,36208.61,50,440,True,
56,200,4557.49,50,437,True,
57,200,12149.9,50,425,True,
58,200,55176.95,50,410,True,
59,200,6079.86,50,442,True,
60,200,9121.19,50,419,True,
61,200,9626.65,50,412,True,
62,200,49384.33,50,438,True,
63,200,44766.47,50,394,True,
64,200,31078.75,50,457,True,
65,200,37344.75,50,414,True,
66,200,41337.27,50,415,True,
67,200,17758.02,50,418,True,
68,200,39616.78,50,440,True,
69,200,29330.92,50,400,True,
70,200,47057.07,50,457,True,
71,200,53437.58,50,421,True,
72,200,12656.17,50,441,True,
