request_id,status,latency_ms,tokens,response_size,success,error
0,200,60292.14,50,457,True,
1,200,44872.7,50,432,True,
2,200,19041.17,50,437,True,
3,200,24184.47,50,428,True,
4,200,43180.19,50,437,True,
5,200,20072.21,50,448,True,
6,200,25723.74,50,426,True,
7,200,51137.58,50,403,True,
8,200,52280.14,50,417,True,
9,200,6616.68,50,425,True,
10,200,10234.28,50,426,True,
11,200,45445.21,50,433,True,
12,200,13335.94,50,443,True,
13,200,18523.05,50,439,True,
14,200,33002.87,50,456,True,
15,200,34678.57,50,429,True,
16,200,7150.98,50,441,True,
17,200,17485.2,50,432,True,
18,200,25213.23,50,395,True,
19,200,29327.77,50,435,True,
20,200,56271.54,50,410,True,
21,200,13853.71,50,416,True,
22,200,11786.78,50,416,True,
23,200,14374.37,50,396,True,
24,200,10760.91,50,449,True,
25,200,39226.04,50,459,True,
26,200,42045.99,50,444,True,
27,200,22143.07,50,449,True,
28,200,26238.79,50,402,True,
29,200,28301.14,50,427,True,
30,200,30873.45,50,440,True,
31,200,36376.96,50,423,True,
32,200,38647.01,50,440,True,
33,200,42606.35,50,443,True,
34,200,46011.6,50,421,True,
35,200,49992.56,50,427,True,
36,200,54564.12,50,411,True,
37,200,57999.6,50,419,True,
38,200,58566.4,50,419,True,
39,200,7658.23,50,432,True,
40,200,11274.18,50,420,True,
41,200,16454.79,50,420,True,
42,200,20590.81,50,444,True,
43,200,23164.06,50,436,True,
44,200,26752.51,50,450,True,
45,200,29843.2,50,439,True,
46,200,33552.71,50,409,True,
47,200,36953.16,50,409,True,
48,200,40352.19,50,431,True,
49,200,44311.24,50,415,True,
50,200,47710.19,50,426,True,
51,200,51701.21,50,428,True,
52,200,53984.02,50,402,True,
53,200,57418.44,50,399,True,
54,200,15936.75,50,451,True,
55,200,9200.07,50,448,True,
56,200,12299.54,50,452,True,
57,200,19552.0,50,435,True,
58,200,22652.68,50,421,True,
59,200,27267.51,50,460,True,
60,200,31388.8,50,442,True,
61,200,32423.21,50,452,True,
62,200,35803.49,50,421,True,
63,200,40909.97,50,436,True,
64,200,43734.43,50,433,True,
65,200,48283.99,50,431,True,
66,200,50564.16,50,448,True,
67,200,55125.96,50,426,True,
68,200,59143.77,50,434,True,
69,200,8674.96,50,418,True,
70,200,15412.34,50,426,True,
71,200,9714.57,50,428,True,
72,200,18002.27,50,422,True,
73,200,21622.12,50,420,True,
74,200,23670.55,50,428,True,
75,200,28811.95,50,448,True,
76,200,31903.73,50,464,True,
77,200,35235.14,50,448,True,
78,200,38094.54,50,429,True,
79,200,41474.08,50,427,True,
80,200,46573.75,50,443,True,
81,200,49423.5,50,434,True,
82,200,52842.12,50,442,True,
83,200,56852.19,50,434,True,
84,200,8158.17,50,437,True,
85,200,12813.96,50,413,True,
86,200,14893.54,50,424,True,
87,200,16971.05,50,424,True,
88,200,21107.76,50,415,True,
89,200,24693.17,50,442,True,
90,200,27783.47,50,430,True,
91,200,30356.37,50,427,True,
92,200,34117.48,50,405,True,
93,200,37514.6,50,439,True,
94,200,39775.21,50,436,True,
95,200,47146.5,50,426,True,
96,200,48848.45,50,451,True,
97,200,53417.41,50,448,True,
98,200,55705.86,50,420,True,
99,200,59708.47,50,433,True,
100,200,60810.43,50,436,True,
101,200,61330.09,50,448,True,
102,200,61847.39,50,420,True,
103,200,62365.05,50,430,True,
104,200,62879.08,50,441,True,
105,200,63393.11,50,444,True,
106,200,63913.94,50,459,True,
107,200,64428.26,50,435,True,
108,200,64946.04,50,433,True,
109,200,65463.14,50,451,True,
110,200,65978.56,50,433,True,
111,200,66499.58,50,470,True,
112,200,67019.21,50,430,True,
113,200,67539.29,50,431,True,
114,200,68071.48,50,446,True,
115,200,68601.06,50,425,True,
116,200,69132.7,50,428,True,
117,200,69663.1,50,429,True,
118,200,70195.99,50,445,True,
119,200,70728.54,50,401,True,
120,200,71259.01,50,397,True,
121,200,71804.62,50,442,True,
122,200,72398.31,50,463,True,
123,200,72962.63,50,435,True,
124,200,73562.33,50,429,True,
125,200,74125.3,50,436,True,
126,200,74722.51,50,437,True,
127,200,75297.87,50,393,True,
128,200,75884.43,50,431,True,
129,200,76465.71,50,438,True,
130,200,77041.02,50,424,True,
131,200,77628.24,50,457,True,
132,200,78203.94,50,426,True,
133,200,78791.51,50,406,True,
134,200,79372.03,50,418,True,
135,200,79953.23,50,453,True,
136,200,80539.44,50,425,True,
137,200,81118.54,50,419,True,
138,200,81703.27,50,446,True,
139,200,82285.49,50,428,True,
140,200,82867.49,50,419,True,
141,200,83452.25,50,411,True,
142,200,84031.16,50,391,True,
143,200,84618.39,50,419,True,
144,200,85198.61,50,413,True,
145,200,85783.89,50,434,True,
146,200,86368.55,50,436,True,
147,200,86951.05,50,426,True,
148,200,87536.99,50,443,True,
149,200,88120.39,50,434,True,
150,200,88707.0,50,455,True,
151,200,89330.51,50,415,True,
152,200,90006.82,50,443,True,
153,200,90680.27,50,439,True,
154,200,91353.44,50,422,True,
155,200,92026.81,50,454,True,
156,200,92702.96,50,431,True,
157,200,93375.17,50,425,True,
158,200,94048.2,50,425,True,
159,200,94718.47,50,420,True,
160,200,95390.19,50,443,True,
161,200,96061.49,50,443,True,
162,200,96732.09,50,445,True,
163,200,97404.0,50,451,True,
164,200,98075.11,50,432,True,
165,200,98746.75,50,440,True,
166,200,99421.58,50,422,True,
167,200,100102.02,50,454,True,
168,200,100781.62,50,404,True,
169,200,101467.05,50,452,True,
170,200,102152.13,50,451,True,
171,200,102822.87,50,418,True,
172,200,103512.05,50,409,True,
