request_id,status,latency_ms,tokens,response_size,success,error
0,200,25598.52,50,452,True,
1,200,8202.39,50,413,True,
2,200,1039.44,50,419,True,
3,200,12290.41,50,452,True,
4,200,20431.38,50,452,True,
5,200,1545.38,50,429,True,
6,200,10766.31,50,435,True,
7,200,8709.93,50,429,True,
8,200,13808.93,50,423,True,
9,200,10259.88,50,431,True,
10,200,15327.93,50,425,True,
11,200,23522.51,50,433,True,
12,200,17350.9,50,444,True,
13,200,24556.99,50,440,True,
14,200,26114.75,50,443,True,
15,200,4091.79,50,444,True,
16,200,2053.69,50,427,True,
17,200,6142.78,50,437,True,
18,200,12794.68,50,442,True,
19,200,19396.05,50,408,True,
20,200,18881.04,50,426,True,
21,200,5619.7,50,432,True,
22,200,7170.66,50,453,True,
23,200,13302.61,50,448,True,
24,200,17856.78,50,405,True,
25,200,14315.85,50,434,True,
26,200,22490.22,50,455,True,
27,200,25074.96,50,430,True,
28,200,6654.07,50,425,True,
29,200,14819.55,50,445,True,
30,200,20941.43,50,457,True,
31,200,2559.85,50,386,True,
32,200,7681.99,50,436,True,
33,200,16335.44,50,435,True,
34,200,21457.24,50,436,True,
35,200,3067.96,50,432,True,
36,200,9238.71,50,428,True,
37,200,15828.31,50,441,True,
38,200,21975.69,50,428,True,
39,200,3577.41,50,416,True,
40,200,9737.8,50,428,True,
41,200,18363.4,50,455,True,
42,200,24039.12,50,429,True,
43,200,5106.71,50,412,True,
44,200,11271.06,50,412,True,
45,200,16843.1,50,451,True,
46,200,23004.9,50,413,True,
47,200,4595.28,50,419,True,
48,200,11778.67,50,427,True,
49,200,19909.66,50,406,True,
50,200,25600.7,50,435,True,
51,200,25619.24,50,451,True,
52,200,25633.51,50,462,True,
53,200,25651.92,50,421,True,
54,200,25674.22,50,443,True,
55,200,25709.14,50,428,True,
56,200,25742.58,50,434,True,
57,200,25830.51,50,449,True,
58,200,25879.7,50,455,True,
59,200,25966.48,50,434,True,
60,200,26013.34,50,427,True,
61,200,26094.76,50,412,True,
62,200,26151.84,50,441,True,
63,200,26229.6,50,439,True,
64,200,26292.16,50,437,True,
65,200,26364.38,50,423,True,
66,200,26420.9,50,439,True,
67,200,26495.95,50,440,True,
68,200,26568.52,50,432,True,
69,200,26639.23,50,454,True,
70,200,26744.04,50,440,True,
71,200,26916.29,50,430,True,
72,200,27086.27,50,450,True,
73,200,27258.63,50,439,True,
74,200,27427.22,50,473,True,
75,200,27600.62,50,410,True,
76,200,27770.28,50,451,True,
77,200,27943.9,50,426,True,
