request_id,status,latency_ms,tokens,response_size,success,error
0,200,28607.13,50,509,True,
1,200,11411.58,50,510,True,
2,200,5933.56,50,510,True,
3,200,15764.1,50,531,True,
4,200,23689.28,50,532,True,
5,200,6484.04,50,526,True,
6,200,13861.1,50,511,True,
7,200,11906.1,50,533,True,
8,200,16812.78,50,553,True,
9,200,13313.18,50,544,True,
10,200,18235.21,50,521,True,
11,200,26641.67,50,499,True,
12,200,20684.54,50,539,True,
13,200,28054.41,50,529,True,
14,200,28053.64,50,529,True,
15,200,8408.12,50,515,True,
16,200,4526.37,50,544,True,
17,200,9453.4,50,526,True,
18,200,15762.57,50,567,True,
19,200,23140.67,50,513,True,
20,200,21732.88,50,556,True,
21,200,8955.9,50,550,True,
22,200,10857.98,50,522,True,
23,200,16315.39,50,555,True,
24,200,21235.28,50,529,True,
25,200,18233.69,50,493,True,
26,200,23139.67,50,542,True,
27,200,28052.3,50,514,True,
28,200,10858.71,50,572,True,
29,200,18232.74,50,549,True,
30,200,24185.2,50,508,True,
31,200,5932.66,50,510,True,
32,200,10858.06,50,551,True,
33,200,18782.85,50,542,True,
34,200,25591.82,50,502,True,
35,200,5931.23,50,506,True,
36,200,13310.5,50,537,True,
37,200,19278.09,50,533,True,
38,200,25590.81,50,529,True,
39,200,8406.23,50,517,True,
40,200,13311.17,50,527,True,
41,200,20682.49,50,536,True,
42,200,25592.41,50,559,True,
43,200,8405.31,50,537,True,
44,200,14353.98,50,553,True,
45,200,20683.88,50,550,True,
46,200,26143.28,50,545,True,
47,200,7089.54,50,532,True,
48,200,15763.03,50,530,True,
49,200,23137.8,50,521,True,
50,200,26239.27,50,510,True,
51,200,24834.34,50,544,True,
52,200,23414.75,50,538,True,
53,200,24833.6,50,538,True,
54,200,24836.41,50,503,True,
55,200,24726.23,50,529,True,
56,200,24826.48,50,468,True,
57,200,24826.36,50,525,True,
58,200,24824.11,50,556,True,
59,200,24828.24,50,529,True,
60,200,24831.14,50,574,True,
61,200,24837.45,50,521,True,
62,200,24836.2,50,570,True,
63,200,24836.87,50,527,True,
64,200,24839.02,50,523,True,
65,200,24843.11,50,547,True,
66,200,24850.35,50,525,True,
67,200,24850.34,50,553,True,
68,200,24850.3,50,551,True,
69,200,24852.69,50,555,True,
70,200,24858.98,50,506,True,
71,200,25020.8,50,526,True,
72,200,25020.83,50,538,True,
73,200,25020.86,50,527,True,
74,200,25018.2,50,531,True,
75,200,25032.21,50,538,True,
76,200,25022.44,50,547,True,
77,200,25022.67,50,522,True,
78,200,25022.58,50,529,True,
79,200,25034.95,50,530,True,
80,200,25182.12,50,519,True,
81,200,25065.33,50,558,True,
82,200,25062.61,50,518,True,
83,200,25062.81,50,533,True,
84,200,25073.77,50,553,True,
85,200,25087.44,50,492,True,
86,200,25101.2,50,539,True,
87,200,25101.23,50,541,True,
88,200,25101.38,50,533,True,
89,200,25112.65,50,546,True,
90,200,25120.83,50,526,True,
91,200,25140.07,50,536,True,
92,200,25137.12,50,539,True,
93,200,25137.26,50,530,True,
94,200,25154.82,50,520,True,
95,200,25161.59,50,545,True,
96,200,25178.94,50,518,True,
97,200,25179.97,50,530,True,
98,200,25178.22,50,544,True,
99,200,26740.21,50,561,True,
100,200,24537.54,50,532,True,
101,200,24577.17,50,530,True,
102,200,24578.31,50,551,True,
103,200,25145.3,50,538,True,
104,200,25097.76,50,516,True,
105,200,26031.36,50,529,True,
106,200,24618.11,50,516,True,
107,200,24616.45,50,514,True,
108,200,25179.24,50,551,True,
109,200,25135.13,50,546,True,
110,200,26057.6,50,545,True,
111,200,24648.33,50,542,True,
112,200,24648.69,50,523,True,
113,200,25209.26,50,538,True,
114,200,25161.28,50,534,True,
115,200,26085.83,50,548,True,
116,200,24674.74,50,563,True,
117,200,24671.67,50,524,True,
118,200,25232.44,50,511,True,
119,200,25185.45,50,532,True,
120,200,26111.02,50,493,True,
121,200,24540.8,50,533,True,
122,200,24541.63,50,524,True,
123,200,25098.92,50,534,True,
124,200,25055.89,50,521,True,
125,200,25967.14,50,496,True,
126,200,24557.12,50,523,True,
127,200,24557.04,50,554,True,
128,200,25116.75,50,540,True,
129,200,25060.91,50,528,True,
130,200,25840.28,50,543,True,
131,200,24556.08,50,546,True,
132,200,24554.76,50,504,True,
133,200,25116.08,50,549,True,
134,200,25061.58,50,518,True,
135,200,25974.67,50,555,True,
136,200,24555.88,50,508,True,
137,200,24555.86,50,529,True,
138,200,25114.73,50,554,True,
139,200,25058.87,50,516,True,
